rank	l4_id	l4_name	l3_name	l2_name	l1_name	financial_signal	ai_suitability	decision_density	impact_order	rating_confidence	archetype_completeness	composite	survived	elimination_reason	red_flags	skill_count	aggregated_max_value
497	d04d48d3a8c4	Regulatory & Policy Impact Assessment	Market & Economic Intelligence Gathering	Demand Forecasting & Sensing	Plan	0.5000	0.2500	0.8500	1.0000	0.6000	0.8571	0.6639	N			2	3250000
498	026cd5e5680a	Risk Management & Contingency Planning	Production Planning Governance & Strategy	Production Planning & Scheduling	Plan	0.5000	0.5000	1.0000	0.2500	0.6000	0.8929	0.6636	N			4	13100000
499	87d1a2312338	Emissions & Fuel Economy Planning	Regulatory & Compliance Planning	Production Planning & Scheduling	Plan	0.5000	0.5000	1.0000	0.2500	0.6000	0.8929	0.6636	N			4	7900000
500	335139a9d6b4	TPA/Supplier Selection & Contracting	Third-Party & Supplier Management	Extended Service Plans & Maintenance Programs	Service	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	90000000
501	e804098c60d0	Returnable Container Lease vs. Buy Analysis	Packaging Cost Management & Optimization	Packaging & Returnable Container Management	Move & Fulfill	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	60000000
502	f9d1f552841e	Cross-Functional Stakeholder Requirements Gathering	Indirect Category Management & Stakeholder Engagement	Indirect Procurement	Procure Source & Buy	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	44853000
503	66962610eb02	Inventory Carrying Cost Analysis	Inventory Performance Monitoring & Analytics	Inventory Planning & Optimization	Plan	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	42000000
504	9bc6bbe4c57c	Preventive Maintenance Scheduling (Presses)	Equipment Maintenance & Reliability	Stamping Operations	Make	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	40000000
505	47f70a928c7e	Local Content Requirements Analysis & Strategy	Regulatory & Trade Policy Compliance	Commodity Management & Market Intelligence	Procure Source & Buy	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	30000000
506	f59a0f07f8cf	Annual Network Design & Infrastructure Analysis	Outbound Logistics Network Strategy & Optimization	Outbound Vehicle Logistics & Distribution	Move & Fulfill	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	20000000
507	42f846d9440f	Data Analytics & Reporting for Warehouse Operations	Warehouse Systems & Data Management	Warehouse & Distribution Center Operations	Move & Fulfill	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	18000000
508	137432115953	Schedule Adherence Analysis	Production Schedule Execution & Monitoring	Production Planning & Scheduling	Plan	0.5000	0.5000	0.8250	0.2500	1.0000	0.8571	0.6614	N			2	6000000
509	67c976d70b2e	Trade Compliance Governance & Risk	Trade Compliance & International Logistics	Customs	Move & Fulfill	0.5000	0.5000	0.6500	1.0000	0.6000	0.8571	0.6614	N			1	3000000
510	03f5171b4f7f	Stock-Out & Backorder Resolution Process	Inventory Exception Management & Resolution	Inventory Planning & Optimization	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
511	047d2c8f01cb	Vehicle Off Road (VOR) Parts Identification & Prioritization	Emergency & Critical Parts Fulfillment	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
512	050257594032	New Program Supply Chain Strategy Development	Launch Program Strategy & Governance	New Product Launch Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
513	07de52823ee6	Root Cause Analysis for Supply Chain Disruptions	Service Parts Performance Management & Continuous Improvement	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
514	09356cb5b915	Three-Way Match (PO	Invoice & Payment Processing (P2P part)	Indirect Procurement	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
515	096de1ba5127	Automation & Robotics Integration Projects	Process Engineering & Continuous Improvement	Electric Vehicle Battery & Drive Unit Production	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
516	0976e70cac2b	Time Study & Work Standard Development	Industrial Engineering & Efficiency	Production Support Services	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
517	0cb466602817	Material Review Board (MRB) Decision Making	Non-Conformance & Rework Management	Body Shop & Welding	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
518	0d1c72ef2c43	Powertrain Calibration & Software Update Release	Technical Service Information Management	Dealer Technical Support & Service Engineering	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
519	143e11d9fd98	PM Schedule Generation & Work Order Creation	Preventive Maintenance (PM) Program Execution	Plant Maintenance & Reliability	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
520	146056ab7d2c	Raw Material & Component Buffer Stock Calculation	Multi-Echelon Inventory Optimization	Inventory Planning & Optimization	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
521	17725a288641	Purchase Order (PO) Creation & Issuance	Requisition-to-Order Processing	Indirect Procurement	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
522	190e58b8255a	Initial Parts Order & Inventory Buffer Strategy	Material Flow & Inventory Planning for Launch	New Product Launch Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
523	1960ea36efed	Data Analytics & Predictive Modeling for Recalls	Performance Analysis & Process Improvement	Recall & Field Service Action Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
524	1b22e3e37569	Production Part PO Generation	Purchase Order Creation & Issuance	Purchase Order Management & Execution	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
525	1d7932587edb	Lead Time Reduction Initiatives via PO Management	PO Performance Analysis & Continuous Improvement	Purchase Order Management & Execution	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
526	1db45ab498b0	Supplier Localization & Regional Sourcing Planning	Supplier Network Strategy & Development	Supply Network Design & Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
527	1e0735608531	Internal Inventory Management & Cycle Counting	Internal Production Logistics & Material Handling	Production Support Services	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
528	1e0e9a75c60a	Supply Disruption Scenario Modeling	Supply Chain Risk Management & Resilience	Supply Network Design & Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
529	203d9ca54c15	Obsolescence & Excess Inventory Management	Service Parts Inventory Planning & Replenishment	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
530	22453f81ec5b	Actuarial & Underwriting	Pricing	Extended Service Plans & Maintenance Programs	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
531	240bc1fb22c1	Expedite & Hot Run Order Management	Production Planning & Scheduling (Stamping)	Stamping Operations	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
532	246564f89090	Critical Shortage Expediting Request & Approval	Expediting, De-expediting & Demand Alignment	Purchase Order Management & Execution	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
533	24bf89a4a915	New Service Part Introduction Planning	Service Parts Lifecycle Management (NPI to Obsolescence)	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
534	260882e800e1	Dual Sourcing Strategy Implementation & Monitoring	Supplier Capacity & Business Continuity Planning	Supplier Relationship Management	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
535	2612ba9a04b1	Supplier NPI Capacity Readiness Tracking	New Product Introduction (NPI) Capacity Assessment	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
536	29fb534cf2c2	Last-Mile Delivery Optimization (Dealer/Customer)	Service Parts Outbound Logistics & Transportation	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
537	2cb193cdea1a	Equipment Breakdown & Repair Management	Facilities & Equipment Maintenance	Production Support Services	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
538	2d53fa317035	Predictive Warranty Cost Modeling	Warranty Performance Monitoring & Analytics	Warranty Administration & Claims Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
539	2f12db877114	Fleet Vehicle Diagnostic & Repair Scheduling	Unscheduled Repair & Recall Execution	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
540	315ceadc284b	Complex Repair Procedure Validation in Field	Field Service Engineering Support	Dealer Technical Support & Service Engineering	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
541	319c06c87162	Inbound Shipment Tracking & Expediting	Service Parts Inbound Logistics	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
542	32a18c0800b4	Strategic Supplier Partnership Program Development	Supplier Relationship & Innovation Management	Supplier Development & Capability Building	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
543	36529d9a8e01	Sensor-Based Data Collection & System Integration	Predictive Maintenance (PdM) & Condition Monitoring	Plant Maintenance & Reliability	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
544	376f9a3ed31c	Supplier Non-Conformance Management (NCR)	Supplier In-Plant Quality & Performance Management	Powertrain Manufacturing (Engine & Transmission)	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
545	3ae8606c6f9f	Top Warranty Concern Identification by Component/System	Warranty Performance Monitoring & Analytics	Warranty Administration & Claims Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
546	3af26b81ccfa	Supplier Risk-Based Quality Assessment	New Supplier Quality Assessment & Selection	Supplier Quality Management	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
547	3ba81cf8ccff	Supplier Part Quality Inspection & Validation (In-Plant)	Quality Management & Control	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
548	3c0396fb6dbf	Outbound Transportation Network Optimization	Service Parts Outbound Logistics & Transportation	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
549	3caae2f553a2	Corrective Action Implementation & Tracking	Service & Upfit Quality Assurance	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
550	3e027682114a	Supplier Exit & Offboarding Procedures	Supplier Contract & Relationship Governance	Supplier Relationship Management	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
551	402d7c6d6808	Die Changeover & Setup Optimization	Die Engineering & Management	Stamping Operations	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
552	4056deba8be6	Root Cause Analysis for Service Defects	Service & Upfit Quality Assurance	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
553	407449050d49	Stamping Demand Forecasting Integration	Production Planning & Scheduling (Stamping)	Stamping Operations	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
554	4228f95259c8	Service Parts Supplier Performance Monitoring	Service Parts Supplier Relationship Management	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
555	42738672a64d	Production Line Sequencing & Cycle Time Management	Production Planning & Execution Control	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
556	44a39d07be51	Value Stream Mapping for Process Efficiency	Manufacturing Engineering & Process Optimization	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
557	452e0a395c33	Manufacturing Process & Quality Control Development	Internal Manufacturing Launch Readiness	New Product Launch Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
558	45a1c7cd115d	Purchase Requisition Creation & Approval	Requisition-to-Order Processing	Indirect Procurement	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
559	4702cc38c3fc	Critical Part Stocking Strategy Development	Service Parts Inventory Planning & Replenishment	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
560	478c4c88bb78	Assembly Line Balancing & Throughput Analysis	Manufacturing System Integration & Layout Design	Manufacturing Engineering & Process Design	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
561	48418b9ef391	Phase-In/Phase-Out Planning for Replacement Parts	Service Parts Lifecycle Management (NPI to Obsolescence)	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
562	49038811036a	Parts Sourcing & Allocation for Repairs	Unscheduled Repair & Recall Execution	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
563	4a3bb1ea30c1	Service Parts Production Order Placement	Service Parts Supply Planning & Procurement	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
564	4a8948aad0e6	Critical Commodity Shortage Escalation & Resolution	Strategic Sourcing Incident Management	Commodity Management & Market Intelligence	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
565	4c2116e73b6d	Production Part Approval Process (PPAP) Planning & Review	Supplier Launch Readiness Management	New Product Launch Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
566	4d3c851b8a51	Supplier Manufacturing Capability Assessment	Supplier Identification & Pre-Qualification	Strategic Sourcing & Supplier Selection	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
567	4de9c07dbe7a	Make-or-Buy Decision Framework Development	Commodity Strategy & Roadmap Development	Commodity Management & Market Intelligence	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
568	510f759ebb74	Cell Formation & Aging Procedures	Battery Cell Production	Electric Vehicle Battery & Drive Unit Production	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
569	514552dd0d55	Proactive Service Appointment Scheduling	Preventive Maintenance & Predictive Diagnostics	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
570	526c2f204251	Warranty Claim Processing & Submission	Unscheduled Repair & Recall Execution	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
571	533479c1fc81	Launch Material Shortage Escalation & Recovery	Material Flow & Inventory Planning for Launch	New Product Launch Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
572	580fe5ff10ba	CLM System Integration with ERP & Sourcing	Contract Lifecycle Management (CLM) Systems & Data	Contract & Commercial Management	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
573	589705a57cd5	Shipment Consolidation & Staging	Outbound Shipping & Loading	Warehouse & Distribution Center Operations	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
574	59218ffce692	Collaborative Inventory Reduction Initiatives with Suppliers	Supplier Collaboration for Inventory Optimization	Inventory Planning & Optimization	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
575	592c542aeb11	Predictive Maintenance Schedule Generation	Preventive Maintenance & Predictive Diagnostics	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
576	5bbed3b261ff	International Shipping & Customs Packaging Compliance	Packaging Compliance & Sustainability	Packaging & Returnable Container Management	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
577	5c928de71877	Technology Transition Planning (ICE to EV)	New Product Introduction & Lifecycle Planning	Integrated Business Planning (IBP)	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
578	620d86e5887c	Service Parts Distribution Network Strategy	Warehouse & Distribution Center Network Management	Logistics Network Optimization	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
579	633c17c233c1	In-Process Quality Gate Inspections	Production Quality Control & Assurance	Production Support Services	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
580	639c7e023eae	EV Battery & Component Lifecycle Demand Modeling	Service Parts Demand Forecasting	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
581	66a67161adba	Inventory Replenishment Order Generation	Service Parts Inventory Planning & Optimization	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
582	685534e03071	New Technology Supplier Vetting	Supplier Identification & Pre-Qualification	Strategic Sourcing & Supplier Selection	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
583	69b34027d447	Supplier Performance Improvement Plan (PIP) Development	Strategic Supplier Relationship Management (SRM)	Strategic Sourcing & Supplier Selection	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
584	6e2be13c9aa1	Quality Gate & Checkpoint Design	Manufacturing Quality Process Engineering	Manufacturing Engineering & Process Design	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
585	6e2f0a9c97c7	Supply Chain Disruption Capacity Modeling	Capacity Scenario Modeling & Simulation	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
586	7021925d5585	Plant Production Line & Equipment Readiness Planning	Internal Manufacturing Launch Readiness	New Product Launch Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
587	71fe91f76d67	New Model Service Parts Demand Planning	Service Parts Demand Forecasting	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
588	72950141e249	Dealer Order Forecast Submission & Review	Dealer Order Management & Support	Order Management & Fulfillment	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
589	731e24bd97cb	Supplier Base Rationalization Planning	Sourcing Strategy & Category Management	Strategic Sourcing & Supplier Selection	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
590	731f6a17b14c	Early Warning System for Emerging Field Issues	Product Quality & Reliability Feedback Loop	Dealer Technical Support & Service Engineering	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
591	74630ae4bd41	Service Network Agreement Negotiation & Management	Fleet Service Network & Capacity Management	Ford Pro Fleet Service & Upfit Operations	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
592	7489f33f1f28	Hazardous Materials (HazMat) Transport Compliance	Transportation Compliance & Risk Management	Transportation Management & Carrier Operations	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
593	74ed4fcbe2af	Should-Cost Modeling & Benchmarking	Cost & Value Optimization (Sourcing Phase)	Strategic Sourcing & Supplier Selection	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
594	7576400000b6	Supplier Capacity Planning for Service Parts	Service Parts Supply Planning & Procurement	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
595	75e417c1299e	Daily Work Assignment & Resource Allocation	Workforce Management & Development	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
596	7680156b5287	Defect Identification & Logging	Non-Conformance Management & Containment	Quality Control & In-Process Inspection	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
597	76874d6b511e	AI/ML Application for Demand/Supply Planning	Digital Transformation & Analytics Strategy	Supply Network Design & Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
598	76e885d49715	Supplier Non-Conformance Reporting & Corrective Actions	Supplier Interface & Performance Management	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
599	77096b477517	Critical Spares Inventory Level Optimization	Maintenance Parts & Spares Inventory Management	Plant Maintenance & Reliability	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
600	7759c63c1e2a	Vendor Managed Inventory (VMI) Policy Establishment	Inventory Strategy & Policy Definition	Inventory Planning & Optimization	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
601	77f02233a2df	End-of-Line Vehicle Audit & Rework Management	Production Quality Control & Assurance	Production Support Services	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
602	7a1cf697cea7	Supplier Relationship Escalation Management	Strategic Supplier Relationship Management (SRM)	Strategic Sourcing & Supplier Selection	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
603	7c6481c2621d	Obsolescence Management & Last-Time Buy Planning	Service Parts Lifecycle Management (NPI to Obsolescence)	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
604	7ce5cffaceb1	NPI Post-Launch Inventory Performance Review	New Product Introduction (NPI) Inventory Planning	Inventory Planning & Optimization	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
605	7eb623bd9a73	Daily Build Schedule Adherence & Tracking	Production Planning & Execution Control	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
606	8063ddb6af8b	Qualified Supplier List Management & Updates	Supplier Qualification & Onboarding	Supplier Development & Capability Building	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
607	825d80cef198	Root Cause Analysis for Inventory Discrepancies	Inventory Performance Monitoring & Analytics	Inventory Planning & Optimization	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
608	826d7b247365	Contingency Planning & Alternative Sourcing	Supply Base Risk & Resilience Management	Commodity Management & Market Intelligence	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
609	8425cc0c77e6	Production Downtime Monitoring & Recovery Actions	Production Planning & Execution Control	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
610	84cf3cd77a63	Commercial Term Negotiation & Finalization	Contract Negotiation & Execution	Contract & Commercial Management	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
611	84e19e8e95bf	Incoming Material Receiving	Material Flow & In-Plant Logistics	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
612	85c7b93edf1a	In-Transit Diversion & Rerouting	Inbound Transportation Execution & Monitoring	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
613	87e2039efffd	Machine Learning Model Deployment for Anomaly Detection	Predictive Maintenance (PdM) & Condition Monitoring	Plant Maintenance & Reliability	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
614	884b003f7550	3rd Party Logistics (3PL) Provider Selection & Management	Strategic Warehouse Network Planning	Warehouse & Distribution Center Operations	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
615	8b7edab681de	Predictive Analytics for Equipment Failure & Quality Issues	Data & Analytics for Production Performance	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
616	8e2facfc1d08	Critical Supplier Backup & Redundancy Planning	Service Parts Business Continuity & Risk Management	Service Parts Planning & Management	Service	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
617	8e652f8f7f83	Demand Fluctuation Impact Analysis & Adjustment	Supplier Capacity & Business Continuity Planning	Supplier Relationship Management	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
618	8f0d706abf33	Outbound Carrier Selection & Management	Service Parts Outbound Logistics & Transportation	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
619	9113b4e3db4e	Production Order Release & Execution Monitoring	Order to Production Scheduling Integration	Order Management & Fulfillment	Move & Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
620	9182cccc8c98	Capacity Planning & Tooling Sourcing for New Programs	New Product Introduction (NPI) Sourcing	Strategic Sourcing & Supplier Selection	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
621	91ed23f3db62	Demand Fluctuation Capacity Impact Modeling	Capacity Scenario Modeling & Simulation	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
622	9280acc62596	First Time Through (FTT) Yield Improvement Initiatives	Production Quality Control & Assurance	Production Support Services	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
623	92a37f039aff	End-of-Line Diagnostic Testing	Operator & Automated Quality Inspections	Quality Control & In-Process Inspection	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
624	92e13c280d4d	Cell Assembly & Stacking Process	Battery Cell Production	Electric Vehicle Battery & Drive Unit Production	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
625	9369e523f250	Line Balancing & Throughput Optimization	Industrial Engineering & Efficiency	Production Support Services	Make	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
626	95824f001d45	Launch Readiness Assessment & Go/No-Go Decision Input	New Product Introduction & Lifecycle Planning	Integrated Business Planning (IBP)	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
627	993c743832ef	Geopolitical & Macroeconomic Risk Assessment	Global Market & Economic Intelligence	Commodity Management & Market Intelligence	Procure Source & Buy	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
