l3_name	opportunity_name	l1_name	l2_name	archetype	data_readiness	platform_fit	archetype_conf	tech_total	decision_density	financial_gravity	impact_proximity	confidence_signal	adoption_total	value_density	simulation_viability	value_total	composite	confidence	promotes_to_sim
Manufacturing Quality Process Engineering	Autonomous Quality Process Engineering Engine for COGS Reduction	Make	Manufacturing Engineering & Process Design	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Inventory Performance Monitoring & Analytics	Autonomous Inventory Performance Optimization across multi-echelon network	Plan	Inventory Planning & Optimization	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Quality Management & Control	End-to-End Quality Management & Defect Reduction Engine across Vehicle Platforms	Make	Trim Chassis & Final Assembly	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Requisition-to-Order Processing	Autonomous Requisition-to-Order Orchestration for Automotive Supply Chain	Procure Source & Buy	Indirect Procurement	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Carrier Relationship Management & Sourcing	Autonomous Carrier Optimization & Strategic Sourcing Engine	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Upfit Solution Design & Integration	Autonomous Upfit Orchestration & Quality-Driven Supplier Alignment	Service	Ford Pro Fleet Service & Upfit Operations	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Labor & Skills Capacity Planning	Autonomous Labor Capacity & Contingent Workforce Orchestrator	Plan	Capacity Planning & Constraint Management	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Battery Cell Production	Autonomous Battery Cell Production Optimization Engine	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	2	1	2	5	2	3	2	2	9	1	2	3	0.63	HIGH	N
Predictive Maintenance (PdM) & Condition Monitoring	Autonomous PdM & Condition Monitoring for Multi-Echelon Automotive Ops	Make	Plant Maintenance & Reliability	DETERMINISTIC	2	1	2	5	2	3	2	2	9	1	2	3	0.63	MEDIUM	Y
Supplier Contract & Relationship Governance	Autonomous Supplier Contract & Relationship Governance Engine	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Preventive Maintenance (PM) Program Execution	Autonomous PM Orchestration for PM Scheduling, Execution, and Backlog Optimization	Make	Plant Maintenance & Reliability	DETERMINISTIC	2	1	2	5	3	2	2	2	9	1	2	3	0.63	HIGH	N
Production Line Maintenance & Uptime Management	Unified Autonomous Maintenance Optimization Engine (UAME) for Ford	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Paint Quality & Rework Management	Autonomous Paint Quality & Rework Optimization Engine	Make	Paint Operations	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Service Tool & Equipment Development	 Autonomous Tooling Development & Orchestration for Service Tools & Equipment	Service	Dealer Technical Support & Service Engineering	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Raw Material & Component Receipt & Kitting	Autonomous Material Receipt & Kitting Orchestrator for Battery Production	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Supplier Communication & Collaboration	Autonomous Supplier Collaboration & Development Engine	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Dealer Claims Submission & Front-End Validation	Autonomous Dealer Claims Intake & Validation Engine	Service	Warranty Administration & Claims Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Procurement Technology & Digitalization	Autonomous, Integrated Procurement Digitalization Engine	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Continuous Improvement & Digital Transformation	End-to-End Planning Modernization & AI-Driven Scheduling Engine	Plan	Production Planning & Scheduling	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Service Parts Master Data & Bill of Material (BOM) Management	Autonomous BOM & Master Data Orchestration for Service Parts	Service	Service Parts Planning & Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Packaging Inventory Management	Autonomous Packaging Inventory Optimization Engine	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Commodity Data Analytics & Reporting	Autonomous Commodity Data Intelligence and Risk-Adjusted Spend Control	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Service Parts Warehouse & Distribution Center Operations	Autonomous Service Parts Warehouse Optimization Engine	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Service Parts Order Management	Autonomous Service Parts Order Management Engine	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Customer Order Modification & Cancellation	 Autonomous Order Modification & Cancellation Engine	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Supplier Launch Readiness Management	Autonomous Supplier Launch Readiness Engine for Automotive Launch Programs	Plan	New Product Launch Planning	DETERMINISTIC	2	2	2	6	2	3	2	2	9	1	1	2	0.62	HIGH	N
Supply Planning & Production Scheduling	Autonomous Global Supply & Production Orchestration for Automotive Platform Value	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	2	2	2	6	3	3	2	2	10	0	1	1	0.62	HIGH	Y
New Model Launch & Production Readiness	Autonomous New Model Launch Orchestration Engine	Make	Trim Chassis & Final Assembly	DETERMINISTIC	2	2	2	6	3	3	2	2	10	0	1	1	0.62	HIGH	N
Powertrain Assembly & Sub-Assembly	Autonomous Powertrain Production Orchestration Engine	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	2	1	2	5	3	3	3	3	12	0	0	0	0.62	HIGH	N
Purchase Order Creation & Issuance	Autonomous PO Creation & Issuance Engine for Automotive MRO and Capital Equipment	Procure Source & Buy	Purchase Order Management & Execution	AGENTIC	2	2	2	6	2	3	3	2	10	0	1	1	0.62	HIGH	Y
Service Parts Supply Planning & Procurement	Autonomous Service Parts Supply & Procurement Orchestrator	Service	Service Parts Planning & Management	DETERMINISTIC	2	2	2	6	3	3	2	2	10	0	1	1	0.62	HIGH	Y
Unscheduled Repair & Recall Execution	Autonomous Unscheduled Repair & Recall Orchestration Engine	Service	Ford Pro Fleet Service & Upfit Operations	AGENTIC	2	2	2	6	2	3	3	2	10	0	1	1	0.62	HIGH	N
Emergency & Escalation Management	Autonomous Emergency Orchestration Engine for Automotive Crises	Service	Recall & Field Service Action Management	AGENTIC	2	2	3	7	2	2	2	1	7	2	1	3	0.62	LOW	N
Supplier Capability Development	Autonomous Supplier Capability Acceleration Engine	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	2	2	3	7	2	2	2	2	8	1	1	2	0.62	HIGH	N
Receiving & Putaway Operations	Autonomous Receiving & Putaway Orchestrator for Automotive Logistics	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	2	2	3	7	2	2	2	1	7	1	2	3	0.62	HIGH	N
Paint Production Planning & Control	Autonomous Paint Production Orchestration for COGS Reduction and OTIF Improvement	Make	Paint Operations	DETERMINISTIC	2	2	2	6	3	2	2	2	9	0	2	2	0.62	HIGH	N
Vehicle Distribution Center (VDC) Operations	Autonomous VDC Operations Orchestrator	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	2	2	2	6	2	3	3	2	10	0	1	1	0.62	HIGH	N
Launch Risk & Issue Management	Autonomous Launch Risk & Issue Orchestration Engine	Plan	New Product Launch Planning	AGENTIC	2	2	3	7	2	2	2	2	8	1	1	2	0.62	HIGH	Y
Risk Management & Scenario Planning	Autonomous Risk & Scenario Optimization Engine for Automotive Supply Chain	Plan	Integrated Business Planning (IBP)	AGENTIC	2	2	3	7	2	2	2	1	7	1	2	3	0.62	HIGH	Y
Customer Request & Incident Management	Autonomous Incident Triage & Resolution Engine	Service	Roadside Assistance & Emergency Services	AGENTIC	2	2	3	7	2	2	2	1	7	1	2	3	0.62	HIGH	N
Industrial Engineering & Efficiency	Autonomous Industrial Engineering Engine for COGS, Throughput, and Through-Life Efficiency	Make	Production Support Services	DETERMINISTIC	2	2	2	6	3	3	3	2	11	0	0	0	0.61	HIGH	N
Field Quality & Warranty Performance Management	Autonomous Field Quality & Warranty Optimization Engine	Procure Source & Buy	Supplier Quality Management	AGENTIC	2	2	3	7	2	3	3	2	10	0	0	0	0.61	HIGH	Y
Product Quality & Reliability Feedback Loop	Autonomous Quality Feedback & Change Lifecycle Engine	Service	Dealer Technical Support & Service Engineering	AGENTIC	2	2	3	7	2	3	2	2	9	0	1	1	0.61	HIGH	N
Supplier Capacity Management	Autonomous Supplier Capacity Management Engine for Automotive Network	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	2	2	2	6	3	3	3	2	11	0	0	0	0.61	HIGH	Y
Supply Chain Risk Management & Resilience	Autonomous Multi-Echelon Risk Resilience Engine	Plan	Supply Network Design & Planning	AGENTIC	2	2	3	7	2	3	3	2	10	0	0	0	0.61	HIGH	Y
Continuous Process Improvement & Optimization	Autonomous Lean Transformation Engine for Automotive PLANT-DC Network	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	2	2	2	6	3	3	3	2	11	0	0	0	0.61	HIGH	Y
Supplier Problem Resolution & Corrective Actions	Autonomous Supplier Quality & Corrective Action Orchestrator	Procure Source & Buy	Supplier Quality Management	AGENTIC	2	2	3	7	2	3	2	2	9	0	1	1	0.61	HIGH	N
Commodity Strategy & Roadmap Development	Autonomous Commodity Strategy Orchestrator for End-to-End EBITDA Optimization	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	1	1	2	4	2	2	2	2	8	2	2	4	0.60	HIGH	Y
Logistics Technology & Digitalization Strategy	Autonomous Logistics Orchestration & Multi-Echelon Inventory Nervous System	Move & Fulfill	Logistics Network Optimization	AGENTIC	1	1	2	4	2	2	2	2	8	2	2	4	0.60	HIGH	Y
Demand Signal Sensing & Adjustment	Autonomous Demand Signal Sensing & Adjustment Engine	Plan	Demand Forecasting & Sensing	DETERMINISTIC	3	2	3	8	3	2	2	2	9	0	0	0	0.60	HIGH	Y
Service Network Performance & Quality Management	Autonomous Service Network Performance Optimization & Dealer Enablement	Service	Customer Experience & Service Quality	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Supplier Quality Strategy & Governance	Autonomous Supplier Quality Governance & Compliance Engine	Procure Source & Buy	Supplier Quality Management	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Order to Production Scheduling Integration	Autonomous Order-to-Production Orchestration Engine	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	2	1	2	5	2	3	2	2	9	1	1	2	0.59	HIGH	Y
Packaging Compliance & Sustainability	Autonomous Packaging Compliance & Sustainability Optimizer	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Process Validation & Simulation	Autonomous Process Validation & Simulation Engine	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	2	1	2	5	2	2	2	2	8	1	2	3	0.59	HIGH	Y
Global Market & Economic Intelligence	Autonomous Global Market Intelligence Engine for COGS & Availability Continual Alignment	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	2	1	2	5	2	3	2	2	9	1	1	2	0.59	HIGH	N
Logistics Technology & Data Management	Autonomous Multi-Echelon Logistics Orchestration Engine	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	2	1	2	5	2	2	2	2	8	1	2	3	0.59	HIGH	Y
Quality Control & Metrology	Autonomous Quality Control Orchestration & Rapid RCA Engine	Make	Body Shop & Welding	AGENTIC	2	2	2	6	1	2	2	1	6	2	2	4	0.59	MEDIUM	N
Transportation Compliance & Risk Management	Autonomous Transportation Compliance & Risk Engine	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	2	1	2	5	2	2	2	2	8	1	2	3	0.59	HIGH	Y
Warranty Cost Recovery & Supplier Management	Autonomous Warranty Recovery & Supplier Alignment Engine	Service	Warranty Administration & Claims Management	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Advanced Product Quality Planning (APQP) & PPAP Management	Autonomous APQP/PPAP Orchestration for Ford Quality Gateframes	Procure Source & Buy	Supplier Quality Management	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Digital Manufacturing & Automation Process Design	Autonomous Multi-Echelon Manufacturing Orchestration for Ford	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	2	1	2	5	2	2	2	2	8	1	2	3	0.59	MEDIUM	Y
Facilities & Equipment Maintenance	End-to-End Maintenance Optimization & Spare Parts Inventory Sync	Make	Production Support Services	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	LOW	N
Preventive Maintenance & Predictive Diagnostics	Autonomous PM & Diagnostics Orchestrator for Automotive TPM	Service	Ford Pro Fleet Service & Upfit Operations	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Data & Analytics for Production Performance	Autonomous Production Performance Optimization Engine	Make	Trim Chassis & Final Assembly	DETERMINISTIC	2	1	2	5	2	2	2	2	8	1	2	3	0.59	HIGH	Y
Contract Negotiation & Execution	Autonomous Commercial Contract Optimization & Execution Engine	Procure Source & Buy	Contract & Commercial Management	AGENTIC	2	1	2	5	2	2	2	2	8	1	2	3	0.59	HIGH	N
Logistics Sustainability & Green Initiatives	Autonomous Sustainable Logistics Optimization Engine	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Maintenance Workforce Management & Development	Autonomous Maintenance Workforce Orchestration	Make	Plant Maintenance & Reliability	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Supplier Relationship & Innovation Management	Autonomous Strategic Supplier Partnership Engine with Innovation Funding	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Dealer Operations & Service Readiness	Autonomous Dealer Readiness & Recall Orchestration Engine	Service	Recall & Field Service Action Management	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Returns & Reverse Logistics Management	Autonomous Reverse Logistics Orchestration for Ford	Move & Fulfill	Warehouse & Distribution Center Operations	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Contract & Agreement Management (Post-Award)	Autonomous Contract Lifecycle & Commitment Optimizer	Procure Source & Buy	Procurement Operations & Compliance	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Service Parts Returns & Reverse Logistics	Autonomous Service Parts Returns & Reverse Logistics Engine	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Global Trade & Export Order Compliance	Autonomous Global Trade Compliance & Optimization Engine	Move & Fulfill	Order Management & Fulfillment	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Supplier Interface & Performance Management	 Autonomous Supplier Performance & VMI Orchestrator	Make	Trim Chassis & Final Assembly	AGENTIC	2	2	2	6	2	2	2	1	7	1	2	3	0.59	HIGH	N
Supplier Financial Viability Assessment	Autonomous Supplier Financial Risk & Terms Optimization Engine	Procure Source & Buy	Contract & Commercial Management	AGENTIC	2	2	2	6	2	3	2	2	9	0	1	1	0.58	HIGH	N
Quality Control & Assurance	Autonomous Quality Assurance Optimization Suite	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Market & Economic Intelligence Gathering	Autonomous Market Intelligence Orchestration for Auto Market Volatility	Plan	Demand Forecasting & Sensing	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Non-Conformance Management & Containment	Autonomous Non-Conformance Lifecycle Orchestrator	Make	Quality Control & In-Process Inspection	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Production Planning Governance & Strategy	Integrated S&OP-Driven Production & Inventory Orchestrator	Plan	Production Planning & Scheduling	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Supplier Risk Management	Autonomous Supplier Risk Management & Resilience Engine	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Third-Party & Supplier Management	Autonomous Third-Party Governance & Contract Optimization Engine	Service	Extended Service Plans & Maintenance Programs	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Customer Issue Resolution & Escalation	Autonomous Customer Issue Resolution & Escalation Engine	Service	Customer Experience & Service Quality	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Current Production Supplier Quality Monitoring	Autonomous Supplier Quality Orchestration for JIT Automotive Production	Procure Source & Buy	Supplier Quality Management	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Manufacturing Systems & IT Support	Autonomous Shop Floor Optimization & Integrated Production Scheduling Engine	Make	Production Support Services	DETERMINISTIC	2	1	2	5	2	3	3	2	10	0	1	1	0.58	HIGH	N
Data & Technology Enablement for IBP	 autonomous IBP Data & Interoperability Engine for Ford IBP	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	Y
Indirect Category Management & Stakeholder Engagement	Autonomous Indirect Spend Governance & Stakeholder Alignment Engine	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Supplier Quality Assurance & Improvement	Autonomous Supplier Quality Excellence Engine	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Supplier Relationship Management (Operational & Strategic)	Autonomous Supplier Relationship Orchestration Engine	Procure Source & Buy	Procurement Operations & Compliance	AGENTIC	2	2	2	6	2	2	2	2	8	1	1	2	0.58	HIGH	N
Supplier Capacity & Business Continuity Planning	Autonomous Supplier Capacity & Continuity Optimizer	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	2	3	3	2	10	0	0	0	0.57	HIGH	N
Supply Base Strategy & Optimization	Autonomous Global Supply Base Optimization Engine	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	2	2	2	6	2	3	3	2	10	0	0	0	0.57	HIGH	N
New Program & Lifecycle S&OP Integration	Integrated Lifecycle S&OP Accelerator for New Programs and Transitions	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	2	2	2	6	3	3	2	2	10	0	0	0	0.57	HIGH	Y
Freight Planning & Network Optimization	Autonomous Freight Planning & Network Optimization Engine	Move & Fulfill	Transportation Management & Carrier Operations	AGENTIC	2	2	2	6	2	3	3	2	10	0	0	0	0.57	HIGH	N
Customs	Autonomous Customs Compliance and Trade Optimization	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	1	1	1	3	2	3	3	2	10	1	1	2	0.56	HIGH	N
Compliance	Autonomous Ethics & Compliance Automation for Automotive Compliance	Procure Source & Buy	Procurement Operations & Compliance	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	1	2	0.55	HIGH	N
Inbound Transportation Execution & Monitoring	Autonomous Inbound Transportation Orchestrator for CPG-Grade Auto Supply Network	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	2	1	2	5	2	2	2	1	7	1	2	3	0.55	HIGH	N
Manufacturing System Integration & Layout Design	Autonomous Manufacturing System Integration & Layout Optimization	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	2	1	2	5	2	2	2	2	8	0	2	2	0.55	HIGH	N
Global Trade & Customs Compliance (Service Parts)	Autonomous Global Trade & Customs Excellence Engine for Service Parts	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	2	2	2	6	2	2	2	1	7	1	1	2	0.55	HIGH	N
Packaging Design & Specification	Autonomous Packaging Design & Specification Orchestration	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	2	2	2	6	2	1	2	1	6	1	2	3	0.55	LOW	N
Commercial Dispute Resolution	Autonomous Commercial Dispute Resolution Engine	Procure Source & Buy	Contract & Commercial Management	DETERMINISTIC	2	2	2	6	2	2	2	1	7	1	1	2	0.55	LOW	N
Connected Vehicle Data Governance & Analytics	Autonomous Vehicle Data Governance & Monetization Engine	Service	Connected Vehicle Services & OTA Updates	AGENTIC	2	2	2	6	1	2	2	2	7	1	1	2	0.55	MEDIUM	N
Regulatory & Compliance Inventory Review	Autonomous Compliance Inventory Orchestrator Across Multi-Echelon Network	Plan	Inventory Planning & Optimization	AGENTIC	2	2	2	6	1	2	1	2	6	1	2	3	0.55	HIGH	N
Compliance & Trade Regulations Planning	Autonomous Compliance & Trade Optimization Engine	Plan	Supply Network Design & Planning	AGENTIC	2	2	2	6	2	2	2	1	7	1	1	2	0.55	HIGH	N
Supplier Development & Capacity Management	Autonomous Supplier Readiness & Capacity Orchestration	Procure Source & Buy	Procurement Operations & Compliance	AGENTIC	2	2	2	6	2	2	2	1	7	1	1	2	0.55	HIGH	N
Supplier Risk & Resilience Management	Autonomous Supplier Risk & Resilience Orchestrator	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	2	2	2	6	2	2	2	1	7	1	1	2	0.55	HIGH	N
Cross-Functional Demand Collaboration	Autonomous Consensus Demand Orchestration Across Cross-Functional Stakeholders	Plan	Demand Forecasting & Sensing	AGENTIC	2	2	2	6	1	2	2	1	6	1	2	3	0.55	HIGH	N
Maintenance Performance Monitoring & Continuous Improvement	Autonomous TPM Optimization & OEE-Driven Maintenance Engine	Make	Plant Maintenance & Reliability	AGENTIC	2	2	2	6	1	2	2	1	6	1	2	3	0.55	LOW	N
Vehicle Assembly Operations	Autonomous Vehicle Assembly Orchestration for COGS Reduction and On-Time Delivery	Make	Trim Chassis & Final Assembly	DETERMINISTIC	1	1	1	3	3	3	2	3	11	0	1	1	0.55	HIGH	N
Logistics Network Design & Modeling	End-to-End Logistics Network Optimization Engine	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	2	2	0.55	HIGH	N
Technical Service Support & Diagnostic Tooling	Autonomous Technical Service & Diagnostic Orchestrator	Service	Customer Experience & Service Quality	AGENTIC	2	2	2	6	1	2	2	1	6	1	2	3	0.55	LOW	N
Inventory Risk & Obsolescence Management	Autonomous Inventory Risk & Obsolescence Optimization for Automotive Supply Network	Plan	Inventory Planning & Optimization	DETERMINISTIC	2	2	2	6	2	3	2	2	9	0	0	0	0.54	HIGH	N
Internal Manufacturing Launch Readiness	Autonomous Launch Readiness Orchestration Engine	Plan	New Product Launch Planning	AGENTIC	2	2	2	6	2	2	3	2	9	0	0	0	0.54	HIGH	N
Exception & Dispute Management	Autonomous Exception & Dispute Orchestrator for Automotive Supply Chain	Procure Source & Buy	Purchase Order Management & Execution	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Strategic Sourcing Incident Management	Autonomous Strategic Sourcing Incident Engine for Automotive Supply Disruptions	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Supplier Qualification & Onboarding	Autonomous Supplier Qualification & Onboarding Orchestrator for Automotive Supply Chain	Procure Source & Buy	Supplier Development & Capability Building	DETERMINISTIC	2	2	2	6	2	3	2	2	9	0	0	0	0.54	HIGH	N
Outbound Logistics Network Strategy & Optimization	Autonomous Outbound Logistics Network Optimization & Disruption-Resilient Routing	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	2	1	2	5	2	3	3	2	10	0	0	0	0.54	HIGH	N
Service Parts Inbound Logistics	Autonomous Inbound Parts Orchestration for Service Parts	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Packaging Supplier & 3PL Management	Autonomous Packaging & 3PL Sourcing & Compliance Engine	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Returnable Container Logistics & Tracking	Autonomous Returnable Container Orchestration Engine	Move & Fulfill	Packaging & Returnable Container Management	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Service Parts Lifecycle Management (NPI to Obsolescence)	Autonomous Service Parts Lifecycle Optimizer (ASPOL)	Service	Service Parts Planning & Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Service Parts Supplier Relationship Management	Autonomous Service Parts Supplier Relationship Orchestrator	Service	Service Parts Planning & Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Supplier Performance Management	Autonomous Supplier Performance Optimization Engine	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
S&OP Cycle Management & Governance	Autonomous S&OP Orchestration & Governance Engine	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
S&OP Performance Monitoring & Improvement	Autonomous S&OP Performance Optimization Engine	Plan	Sales & Operations Planning (S&OP)	AGENTIC	2	2	2	6	2	3	2	2	9	0	0	0	0.54	HIGH	N
New Product Introduction (NPI) Inventory Planning	Autonomous NPI Inventory Orchestration for Fast Cycle New Vehicle Programs	Plan	Inventory Planning & Optimization	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Inventory Exception Management & Resolution	Autonomous Inventory Exception Management & Resolution Engine	Plan	Inventory Planning & Optimization	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Digital Transformation & Analytics Strategy	End-to-End DI Strategy for Revenue, COGS, and Working Capital Optimization in Automotive Network	Plan	Supply Network Design & Planning	DETERMINISTIC	2	2	2	6	2	3	2	2	9	0	0	0	0.54	HIGH	N
Performance Measurement & Continuous Improvement	Autonomous Performance Measurement & Improvement Engine (APMIE)	Plan	Supply Network Design & Planning	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Equipment Maintenance & Reliability	Autonomous Maintenance Orchestration & Spare Parts Optimization for High-Throughput Automotive Ops	Make	Stamping Operations	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Pre-treatment & E-Coat Operations	Autonomous Pre-treatment & E-Coat Digital Twin with Semi-Autonomous Scheduling	Make	Paint Operations	DETERMINISTIC	2	2	2	6	2	2	3	2	9	0	0	0	0.54	HIGH	N
Plant Maintenance & Asset Management	Autonomous TPM-Driven Maintenance Orchestrator	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
